Body Part,Exercise Type,Exercise Style 1,Exercise Style 2,Implementation Options ,Implementation Options 2
,Prone Cobra,,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
Quadriceps,Cossack Squat,,,Buffalo Bar,
,Goblet Squat,,,Safety Bar,
,Machine Hack Squat,"Feet High
Feet Low 
Feet Middle","Narrow Stance
Medium Stance
Wide Stance
Duck Stance
Platz Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Barbell Hack Squat,Heels Elevated,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Leg Extension,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Leg Extension,Unilateral            ,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Horizontal Leg Press,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Incline Leg Press,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Lunge,"Forward
Drop
Reverse
Walking Forward
Walking Backward            ",Alternating,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Pendulum Squat,"Duck Stance
Narrow Stance
Medium Stance
Wide Stance",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Power Squat Machine,"Facing In
Facing Out","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Split Squat,"Front Foot Elevated            
Rear Leg Elevated",1.25 reps,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Low Bar Squat,"Narrow Stance
Medium Stance
Wide Stance","Top 1/3 range
Top 1/4 range
Isometronic","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Inertia Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance
Front Narrow Stance
Front Medium Stance
Front Wide Stance
Front Duck Stance","Top 1/4 range
Top 1/3 range
Top 1/2 range
Top 1/4 range w/ankle extension
Top 1/3 range w/ankle extension
Top 1/2 range w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Front Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Single Leg Squat,"Crouching
Bench Get up",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Pistol Squat,heel elevated,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Jump Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Machine Squat,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Trap Bar Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Overhead Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Telemark Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Step-up,"Front            
Front  Low Box          
Petersen            
Poliquin            
Russian            
Russian  Alternating          
Side            
Side  Low Box          ",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
Shoulders,Arnold Press,"Seated            
Standing            ",,,
,Band Pull Aparts,,,,
,Behind the Neck Press,"Seated            
Standing            ",,,
,External Rotation,"Arm Extended and Abducted in Front            
Arm Extended and Abducted Overhead            
Arm Extended and Abducted to Side            
Arm Extended and Adducted to Side            
Arm Abducted in Front          
Arm Abducted to Side          
Arm Adducted to Side  Low Pulley        
Arm Adducted to Side  Mid Pulley        
Sidelying            
Cobra            
Cuban Press          
Elbow on Knee            
Muscle Snatch          ","Seated
Standing
Kneeling",,
,Front Raise,"15° Incline  Narrow Grip
15° Incline  Medium Grip      
15° Incline  Wide Grip
15° Incline  One Arm     
30° Incline  Narrow Grip     
30° Incline  Medium Grip        
30° Incline  Wide Grip       
30° Incline  One-Arm
45° Incline   Narrow Grip       
45° Incline  Medium Grip        
45° Incline  Wide Grip        
45° Incline  One-Arm        
60° Incline   Narrow Grip
60° Incline  Medium Grip
60° Incline  Wide Grip
60° Incline  One-Arm
Chest Supported  Scott Bench
Seated  Narrow         
Seated  Medium Grip       
Seated  Wide Grip      
Seated  One-Arm       
Standing  Narrow Grip   
Standing  Medium Grip        
Standing  Wide Grip       
Standing  One-Arm  ","Neutral
Pronated
Pronating
Supinated
Supinating
Semi-Pronated
Semi-Supinated",,
,Horizontal Abduction,"Seated 
Standing
Kneeling","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,
,Landmine Press,"Neutral
Pronated",,,
,Lateral Raise,"Bent-over            
Machine            
Prone  15° Incline          
Prone  30° Incline     
Prone  45° Incline      
Prone  60° Incline      
Prone  75° Incline       
Prone  Flat          
Seated            
Seated  L-Lateral          
Standing
Standing L-Lateral",One-Arm,,
,Sidelying Lateral Raise,"on Forearm     
15° Incline       
30° Incline       
45° Incline           ","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,
,One-arm Land Mine Press,,,,
,Powell Raise,"15° Incline            
30° Incline            
45° Incline            
Flat            
Floor            
Swiss Ball            ","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,
,Reverse Flye,"Machine  Seated  Neutral        
Machine  Seated  Pronated        ",,,
,Scott Press,"Seated            
Standing            ",,,
,Shoulder Press,"Machine  Seated  Neutral        
Machine Seated
Seated
Seated Unsupported
Standing
Standing one arm anchored","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated
One-Arm Neutral
One-Arm Pronated
One-Arm Rotating",,
,Shrug,"Prone  45° Incline        
Prone  60° Incline        
Prone  75° Incline        
Seated  Machine        
Seated          
Seated  One-arm        
Standing  Machine        
Standing          
Standing  One-arm        ","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated
One-Arm Neutral
One-Arm Pronated
One-Arm Rotating",,
,Sots Press,,,,
,Turkish Getup,,,,
,Upright Row,"Close grip
Medium Grip
Wide Grip","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated
One-Arm Neutral
One-Arm Pronated
One-Arm Rotating",,
Triceps,Close Grip Bench Press,"15° Incline 
30° Incline 
45° Incline 
60° Incline
Decline
Flat ","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,California Press,Flat            ,"Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Triceps Dips,"Machine
V-Bar
Parallel Bar
Rings",,"Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Floor Press,"Close grip
Medium Grip
Wide Grip","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Machine French Press,"Close Grip
Medium Grip
One-Arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Seated French Press,"Close Grip
Medium Grip
One-Arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Standing French Press,"Close Grip
Medium Grip
One-Arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Seated Half Press in rack,Seated  Medium Grip  Pronated        ,,"Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Kneeling Triceps Pressdown,"Close Grip      
Medium Grip
Wide Grip
One arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Prone Triceps Pressdown,"45° Incline  Close Grip        
45° Incline  Medium Grip        
45° Incline  Wide Grip","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Standing Triceps Pressdown,"Close Grip
Medium Grip
Wide Grip
One-Arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Triceps Extension,"Flat Close Grip
Flat Medium Grip
15° Incline 
15° Incline  Close Grip
15° Incline  Medium Grip        
30° Incline 
30° Incline  Close Grip 
30° Incline  Medium Grip      
45° Incline         
45° Incline  Close Grip
45° Incline  Medium Grip      
Decline Close Grip
Decline Medium Grip
Machine","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
Olympic Lifts,Clean,"Floor
Blocks
Podium",,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Clean and Jerk,"Mid Thigh
Above Knee
Below Knee",,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Clean and Press,,,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Hang Clean,"Mid Thigh
Above Knee
Knee
Below the Knee            ",,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Power Clean,"Floor
Mid Thigh            
Knee
Below Knee",,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Power Clean + Front Squat + Push Press,,,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Power Clean + Front Squat  ,,,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Power Clean + Push Press,,,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Power Clean + Clean Pull,,,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Clean Pull,"Floor
Mid Thigh
Above Knee
Knee
Below Knee","Power Rack
Blocks
Hang
Podium","Barbell
15 Kg Barbell
20 Kg Barbell",
,Snatch,"Floor
Mid Thigh
Above Knee
Knee
Below Knee","Blocks
Podium","Barbell
15 Kg Barbell
20 Kg Barbell",
,Power Snatch,"blocks
Above the Knee            
Below the Knee            
Mid Thigh            
Podium            ",,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Hang Snatch,"Mid Thigh
Above Knee
Knee
Below the Knee            ",,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Power Snatch + Overhead Squat,,,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Push Jerk behind the Neck,"Clean Grip
Snatch Grip",,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Overhead Squat,"Clean grip
Snatch Grip",,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Sots Press,,,"Barbell
15 Kg Barbell
20 Kg Barbell",
,Split Jerk,,,"Barbell
15 Kg Barbell
20 Kg Barbell",
Plyometrics,Box Jump,,,,
,Squat Jump,,,,
,Tuck Jump,,,,
,Split Jump,,,,
,Ankle Jumps,,,,
,Standing Broad Jump,,,,
,Jump Rope,,,,
,Depth Jump,,,,
,Hurdle Jump,,,,
,Lateral Jump,,,,
,Penta Jump,,,,
,Broad Jump,Forward and Lateral            ,,,
,Med Ball,"Chest Pass            
Overhead Toss            
Pullover Pass
Side Toss with Rotation            
Slam            
Supine Chest Pass            ",,,
Strongman,Axle Clean + Press,,,,
,Axle Clean & Press,,,,
,Axle Deadlift,,,,
,Axle Press,,,,
,Car Deadlift,,,,
,Circus Dumbbell Clean & Press ,,,,
,Circus Dumbbell Press,,,,
,Conan's Wheel,,,,
,Farmer's Handle Deadlift,,,,
,Farmer's Walk,"Forward Start and Stops            
Forward with Turn
Reverse Start and Stops            
Side Bend            ",,,
,Frame Carry,,,,
,Frame Deadlift,,,,
,Husafel Carry,,,,
,Keg Carry,,,,
,Keg Clean & Press Away,,,,
,Keg Clean & Press Every Rep,,,,
,Keg Over Bar,,,,
,Log Press,,,,
,Log Inertia press,,,,
,Log Incline Press,,,,
,Log Clean + Press,,,,
,Log Clean & Press ,,,,
,Log Push Press,,,,
,Prowler Push,Shoulder Harness,,,
,Sandbag Carry,,,,
,Sandbag Over Bar,,,,
,Sled Drag,"Backwards            
Backwards Walk            
Bear Crawl
Bent-Over Hamstring            
Bent-Over Sideways Ankle            
Carioca            
Arms Extended Forward Drag         
Claw Walk            
Face Pull            
Lunge Walk            
Nose-to-Sky Backwards            
Petersen            
Pull-Through            
Push            
Row            
Sideways Ankle            
Sideways  Hand Hold          
Single-Arm Backwards            
Single-Arm Hamstring            
Thick Rope Pull            
Tow with Harness            ",,,
,Sledge Hammer,,,,
,Atlas Stone,,,,
,Atlas Stone Carry,,,,
,Atlas Stone Over Bar,,,,
,Atlas Stone Series,,,,
,Atlas Stone to Platform,,,,
,Tire Flip,,,,
,Viking Press,,,,
,Super Yolk,"Bottom Position Squat            
Forward Start and Stops            
Reverse Start and Stops            
Walk            
Zercher Carry            ",,,
Conditioning/Calisthenics,Airdyne,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Pushups,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Burpees,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Jumping Jacks,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Bear Crawl,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Lizard Crawl,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Jump Rope,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Sprints,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Hill Run,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Backpedal Run,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Double Unders,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Sled Drag,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Battling Ropes,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Weighted Run,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Rowing Machine,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Sledge Hammer,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
,Prowler Push,,,"Weight Vest
Med Ball
Battle Ropes
Sandbag
Shoulder Harness
Sled Harness",
Mobility,Neck - Side Flexion,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Neck - Suboccipital stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Neck - Upper Trap Stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Neck - Sternocleidomastoid stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Neck - Neck CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Thoracic/Lumbar/Abs - Cat/Camel,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Thoracic/Lumbar/Abs - Abdominal stretch on Swiss Ball,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Thoracic/Lumbar/Abs - Oblique Stretch on Swiss Ball,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Thoracic/Lumbar/Abs - McKenzie Press-up,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Thoracic/Lumbar/Abs - Seated Quadratus Lumborum,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Thoracic/Lumbar/Abs - Thoracic CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Shoulder/Chest - Standing Chest Stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Shoulder/Chest - Supine Trunk Rotation,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Shoulder/Chest - Side Lying Shoulder External Rotation,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Shoulder/Chest - Side Lying Shoulder Internal Rotation,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Shoulder/Chest - Shoulder CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Arms - Standing biceps,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Arms - Overhead Triceps,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Arms - Elbow CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Arms - Wrist CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Arms - Wrist Flexion,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Arms - Wrist Extension,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Upper Back/Lats - Rhomboid Stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Upper Back/Lats - Lat stretch/Table Top,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Upper Back/Lats - Posterior Shoulder ,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Upper Back/Lats - Scapulae CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - 90/90 hip external rotation,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - 90/90 hip internal rotation,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - 90/90 QL/Latissimus Dorsi,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - Kneeling Hip Flexor ,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - Kneeling Short Adductor ,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - Standing HIp Abductor/TFL stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - Prone Groin stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - Passive Full Squat,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Hips - Hip CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Legs - Kneeling Quadriceps Stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Legs - Supine Hamstrings,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Legs - Knee CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Legs - Kneecap CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Legs - Sidelying Quadriceps,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Ankle - Ankle Circles,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,"Ankle - Tibialis Anterior, Kneeling",,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Ankle - Soleus Stretch,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,"Ankle - Gastrocnemius Stretch, Standing",,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Ankle - Ankle CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Foot - Toe CAR,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Foot - Toe Dorsiflexion,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"
,Foot - Toe Plantarflexion,,,"Active Isolated
Static
PNF","TRX
Swiss Ball"